bill_id,bill_date,due_date,supplier_id,expense_account,expense_type,segment,amount,vat_amount,total_amount,credit_term_days,reference,status
BILL-2025-00199,2025-11-13,2025-12-13,SUP-0013,5413,Utilities-Water,Admin,50400,3528,53928,30,WATER-11,OPEN
BILL-2025-00200,2025-11-13,2025-12-13,SUP-0014,5413,Telecom,Admin,75600,5292,80892,30,TELECOM-11,OPEN
BILL-2025-00201,2025-11-15,2025-12-15,SUP-0023,5310,Marketing,Selling,604800,42336,647136,30,MKTG-11,OPEN
BILL-2025-00202,2025-11-15,2025-12-15,SUP-0024,5210,Logistics,Distribution,1260000,88200,1348200,30,LOGISTICS-11,OPEN
BILL-2025-00203,2025-11-17,2025-12-17,SUP-0007,5210,Fuel,Distribution,403200,28224,431424,30,FUEL-11,OPEN
BILL-2025-00204,2025-11-18,2026-01-02,SUP-0009,5130,Paint-Body,Service,252000,17640,269640,45,PAINT-11,OPEN
BILL-2025-00205,2025-11-18,2026-01-02,SUP-0011,5130,Tires,Service,151200,10584,161784,45,TIRES-11,OPEN
BILL-2025-00206,2025-11-19,2025-12-19,SUP-0021,5417,Security,Admin,75600,5292,80892,30,SEC-11,OPEN
BILL-2025-00207,2025-11-19,2025-12-19,SUP-0022,5417,Cleaning,Admin,50400,3528,53928,30,CLEAN-11,OPEN
BILL-2025-00208,2025-11-21,2025-12-21,SUP-0020,5417,IT,Admin,100800,7056,107856,30,IT-11,OPEN
BILL-2025-00209,2025-11-25,2025-12-25,SUP-0025,5416,Professional,Admin,554400,38808,593208,30,PROF-11,OPEN
BILL-2025-00210,2025-12-10,2026-01-09,SUP-0001,1141,Inventory-Vehicle,Inventory,85500000,5985000,91485000,30,HONDA-INV-12,OPEN
BILL-2025-00211,2025-12-12,2026-01-11,SUP-0002,1141,Inventory-Accessories,Inventory,3182184,222752.88,3404936.88,30,HONDA-ACC-12,OPEN
BILL-2025-00212,2025-12-15,2026-01-29,SUP-0003,1142,Inventory-Parts,Inventory,3150000,220500,3370500,45,HONDA-PRT-12,OPEN
BILL-2025-00213,2025-12-17,2026-01-31,SUP-0004,1142,Inventory-Parts,Inventory,675000,47250,722250,45,DENSO-PRT-12,OPEN
BILL-2025-00214,2025-12-19,2026-02-02,SUP-0005,1142,Inventory-Parts,Inventory,675000,47250,722250,45,BOSCH-PRT-12,OPEN
BILL-2025-00215,2025-12-11,2026-01-10,SUP-0016,5412,Rent,Admin,907200,63504,970704,30,RENT-SHOWROOM-12,OPEN
BILL-2025-00216,2025-12-11,2026-01-10,SUP-0017,5412,Rent,Admin,352800,24696,377496,30,RENT-SVC-12,OPEN
BILL-2025-00217,2025-12-13,2026-01-12,SUP-0012,5413,Utilities-Electric,Admin,201600,14112,215712,30,ELEC-12,OPEN
BILL-2025-00218,2025-12-13,2026-01-12,SUP-0013,5413,Utilities-Water,Admin,50400,3528,53928,30,WATER-12,OPEN
BILL-2025-00219,2025-12-13,2026-01-12,SUP-0014,5413,Telecom,Admin,75600,5292,80892,30,TELECOM-12,OPEN
BILL-2025-00220,2025-12-15,2026-01-14,SUP-0023,5310,Marketing,Selling,604800,42336,647136,30,MKTG-12,OPEN
BILL-2025-00221,2025-12-15,2026-01-14,SUP-0024,5210,Logistics,Distribution,1260000,88200,1348200,30,LOGISTICS-12,OPEN
BILL-2025-00222,2025-12-17,2026-01-16,SUP-0007,5210,Fuel,Distribution,403200,28224,431424,30,FUEL-12,OPEN
BILL-2025-00223,2025-12-18,2026-02-01,SUP-0009,5130,Paint-Body,Service,252000,17640,269640,45,PAINT-12,OPEN
BILL-2025-00224,2025-12-18,2026-02-01,SUP-0011,5130,Tires,Service,151200,10584,161784,45,TIRES-12,OPEN
BILL-2025-00225,2025-12-19,2026-01-18,SUP-0021,5417,Security,Admin,75600,5292,80892,30,SEC-12,OPEN
BILL-2025-00226,2025-12-19,2026-01-18,SUP-0022,5417,Cleaning,Admin,50400,3528,53928,30,CLEAN-12,OPEN
BILL-2025-00227,2025-12-21,2026-01-20,SUP-0020,5417,IT,Admin,100800,7056,107856,30,IT-12,OPEN
BILL-2025-00228,2025-12-25,2026-01-24,SUP-0025,5416,Professional,Admin,554400,38808,593208,30,PROF-12,OPEN
