"payment_id","company","payment_date","amount","description","reference","source"
"JE-ACG-00087","ACG","2025-12-25","21190","ACG admin 5419","OPEX-ACG-2025-12-5419","GL"
"JE-ACG-00088","ACG","2025-01-25","16600","ACG admin 5418","OPEX-ACG-2025-01-5418","GL"
"JE-ACG-00089","ACG","2025-02-25","16600","ACG admin 5418","OPEX-ACG-2025-02-5418","GL"
"JE-ACG-00090","ACG","2025-03-25","16600","ACG admin 5418","OPEX-ACG-2025-03-5418","GL"
"JE-ACG-00091","ACG","2025-04-25","16600","ACG admin 5418","OPEX-ACG-2025-04-5418","GL"
"JE-ACG-00092","ACG","2025-05-25","16600","ACG admin 5418","OPEX-ACG-2025-05-5418","GL"
"JE-ACG-00093","ACG","2025-06-25","16600","ACG admin 5418","OPEX-ACG-2025-06-5418","GL"
"JE-ACG-00094","ACG","2025-07-25","16600","ACG admin 5418","OPEX-ACG-2025-07-5418","GL"
"JE-ACG-00095","ACG","2025-08-25","16600","ACG admin 5418","OPEX-ACG-2025-08-5418","GL"
"JE-ACG-00096","ACG","2025-09-25","16800","ACG admin 5418","OPEX-ACG-2025-09-5418","GL"
"JE-ACG-00097","ACG","2025-10-25","16800","ACG admin 5418","OPEX-ACG-2025-10-5418","GL"
"JE-ACG-00098","ACG","2025-11-25","16800","ACG admin 5418","OPEX-ACG-2025-11-5418","GL"
"JE-ACG-00099","ACG","2025-12-25","16800","ACG admin 5418","OPEX-ACG-2025-12-5418","GL"
"JE-ACG-00124","ACG","2025-05-15","15956511","ACG dividend declared and paid to shareholders","DIV-ACG-2025","GL"
"JE-ACG-00126","ACG","2025-09-30","467307","ACG tax payment","TAX-PAY-ACG","TAX"
"JE-ACG-00128","ACG","2025-06-15","1022979","ACG intangible capex","CAPEX-ACG-IT-2025","FA"
